Bin number  Range of angle values(in degree)  Min.value  Max.value  Stored value
1            0-17                                  0       0         0
2            18-35                                 0       0         0
3            36-53                                 0       1         0                               
4            54-71                                 1       3         2
5            72-89                                 3       57       30
6            90-107                                -3     103       50
7            108-125                                -3     -1       -2
8            126-143                                -1      0        0
9            144-161                                 0      0        0  
10           162-179                                 0      0        0
11           180-197                                 0      0        0
12           198-215                                 0      0        0
13           216-233                                 0       1        0
14           234-251                                 1       3        2  
15           252-269                                  3      57       30
16           270-287                                 -3     103    50
17           288-305                                  -3     -1       -2
18           306-323                                  -1     0        0
19           324-341                                   0     0        0
20           342-360                                    0     0       0
